,Object,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,alarm_clock,0.131,0.032,-0.012,-0.045,-0.038,0.061,-0.007,0.032,0.006,-0.047
1,aluminum_foil,-0.1,-0.009,-0.076,-0.067,-0.04,0.063,0.027,-0.041,0.079,-0.107
2,apple,-0.056,0.021,-0.066,-0.141,0.082,0.11,0.168,0.067,-0.105,0.04
3,armchair,-0.004,0.015,0.058,0.006,0.041,-0.017,-0.033,0.023,-0.037,0.059
4,baseball_bat,0.03,-0.003,-0.149,-0.01,0.048,0.018,0.014,-0.055,0.017,-0.019
5,basketball,0.025,-0.029,-0.044,0.066,-0.007,0.088,0.01,0.034,0.166,-0.01
6,bathtub,-0.03,0.004,0.046,0.076,0.055,0.077,-0.056,-0.069,-0.055,-0.099
7,bathtub_basin,-0.013,-0.01,-0.005,-0.008,0.094,-0.075,0.034,0.12,-0.046,-0.002
8,bed,0.029,-0.021,-0.035,0.077,-0.052,0.011,-0.007,-0.047,0.033,0.094
9,blinds,0.109,0.031,0.076,0.045,-0.006,-0.008,-0.045,0.221,0.01,0.022
10,book,-0.058,0.081,0.056,0.098,0.028,0.067,-0.024,0.017,0.094,0.002
11,boots,0.031,0.033,0.04,0.136,0.028,0.001,-0.076,0.034,-0.102,-0.019
12,bottle,0.035,0.061,-0.011,-0.049,-0.024,-0.126,-0.04,0.083,0.033,-0.012
13,bowl,0.006,-0.02,0.082,0.058,-0.002,0.096,0.089,-0.04,0.034,-0.008
14,box,-0.006,0.058,-0.051,-0.009,0.023,-0.054,-0.044,0.091,0.077,0.009
15,bread,-0.089,0.131,0.055,-0.042,-0.069,0.13,0.323,-0.03,-0.043,0.045
16,butter_knife,-0.02,-0.037,0.014,-0.008,0.005,0.335,0.055,-0.037,-0.025,0.048
17,cabinet,0.095,-0.107,-0.005,0.022,-0.064,0.026,0.017,0.068,-0.034,0.101
18,candle,0.003,0.091,0.004,-0.036,-0.064,0.027,-0.005,0.033,-0.029,-0.016
19,cd,-0.128,0.011,-0.048,-0.037,-0.058,0.032,-0.054,0.002,-0.009,0.042
20,cell_phone,0.021,0.054,0.045,-0.05,0.148,-0.011,-0.02,-0.07,0.098,-0.054
21,chair,-0.028,0.047,0.088,0.064,0.043,-0.037,-0.029,0.001,-0.02,0.051
22,cloth,0.043,-0.033,-0.088,0.147,0.059,-0.015,0.006,-0.029,0.022,0.027
23,coffee_machine,0.018,0.073,0.044,-0.041,0.016,0.065,-0.039,-0.012,0.009,0.019
24,coffee_table,-0.019,0.115,0.061,-0.014,0.022,0.05,0.015,0.067,0.026,-0.02
25,counter_top,-0.098,-0.018,-0.056,0.013,0.034,0.034,0.012,-0.028,-0.006,-0.008
26,credit_card,-0.005,0.001,-0.025,-0.098,0.097,-0.019,0.018,-0.041,0.029,-0.088
27,cup,0.037,0.058,-0.058,-0.033,-0.034,-0.004,0.087,0.033,0.026,0.039
28,curtains,0.091,0.076,0.055,0.14,-0.013,-0.07,-0.039,0.217,-0.046,0.017
29,desk,0.014,0.057,-0.007,0.146,-0.002,0.001,-0.039,-0.038,0.059,0.072
30,desk_lamp,0.073,0.005,0.041,0.046,0.04,-0.069,-0.043,0.082,0.024,0.008
31,desktop,0.16,0.035,0.043,-0.008,0.226,-0.013,-0.104,0.036,-0.096,0.093
32,dining_table,0.021,0.02,0.013,0.086,0.129,0.211,-0.029,0.097,-0.005,0.015
33,dish_sponge,0.021,-0.037,0.154,0.088,0.102,0.334,-0.054,0.038,0.006,-0.004
34,dog_bed,-0.039,0.057,0.027,0.107,-0.019,-0.024,0.16,0.046,0.106,-0.027
35,drawer,0.148,-0.094,0.011,0.04,-0.014,0.046,0.014,0.128,-0.025,0.092
36,dresser,0.11,-0.113,0.019,0.058,-0.023,0.084,-0.061,0.004,-0.052,0.141
37,dumbbell,0.087,-0.057,0.05,0.013,0.013,-0.036,-0.049,-0.068,0.01,0.041
38,egg,-0.007,0.135,0.031,-0.031,-0.025,0.071,0.033,0.027,0.007,0.043
39,faucet,0.216,0,0.114,0.063,-0.031,0.045,-0.033,0.093,-0.056,-0.004
40,floor,-0.027,0.019,0.145,0.183,0.003,-0.059,-0.007,0.052,0.008,0.129
41,floor_lamp,-0.033,0.068,0.071,0.05,0.028,-0.03,0.093,-0.082,-0.107,-0.007
42,footstool,0.042,-0.045,0.085,0.069,0.081,-0.018,-0.048,-0.099,-0.032,0.091
43,fork,-0.008,0.016,0.021,0.079,0.178,0.173,0.098,0.108,0.047,-0.033
44,fridge,0.085,-0.004,0.096,-0.049,0.016,0.172,0.028,0.066,0.073,0.084
45,garbage_bag,-0.043,0,0.039,0.108,0.079,0.014,0.007,0.013,0.263,-0.065
46,hand_towel,0.11,0.029,-0.019,0.119,0.169,-0.045,0.023,-0.01,0.089,0.05
