,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,alarm_clock,go_on_a_night_table,0.062,0.004,-0.058,-0.014,0.11,-0.017,-0.061,0.061,0.176,0.044
1,alarm_clock,Average,0.062,0.004,-0.058,-0.014,0.11,-0.017,-0.061,0.061,0.176,0.044
2,aluminum_foil,,0,0,0,0,0,0,0,0,0,0
3,aluminum_foil,Average,0,0,0,0,0,0,0,0,0,0
4,apple,fall_from_a_tree,0.067,0.09,-0.044,-0.025,0.04,0.013,0.014,0.024,0.058,-0.032
5,apple,fall_off_a_tree,0.068,0.062,-0.024,0.024,0.001,-0.039,-0.068,-0.002,0.177,0.095
6,apple,Average,0.0675,0.076,-0.034,-0.0005,0.0205,-0.013,-0.027,0.011,0.1175,0.0315
7,armchair,,0,0,0,0,0,0,0,0,0,0
8,armchair,Average,0,0,0,0,0,0,0,0,0,0
9,baseball_bat,strike_ball,0.018,-0.079,-0.042,0.002,0.008,-0.119,-0.014,-0.017,0.084,0.073
10,baseball_bat,hurt_humans,0.023,0.077,0.067,0.06,0.021,-0.022,-0.044,0.072,0.04,0.034
11,baseball_bat,hit_a_baseball,0.011,0.081,-0.05,0.053,0.048,0.04,-0.005,-0.085,0.099,0.042
12,baseball_bat,Average,0.017333333,0.026333333,-0.008333333,0.038333333,0.025666667,-0.033666667,-0.021,-0.01,0.074333333,0.049666667
13,basketball,,0,0,0,0,0,0,0,0,0,0
14,basketball,Average,0,0,0,0,0,0,0,0,0,0
15,bathtub,,0,0,0,0,0,0,0,0,0,0
16,bathtub,Average,0,0,0,0,0,0,0,0,0,0
17,bathtub_basin,,0,0,0,0,0,0,0,0,0,0
18,bathtub_basin,Average,0,0,0,0,0,0,0,0,0,0
19,bed,rest_a_person,-0.032,0.066,0.015,-0.023,-0.023,-0.103,-0.012,-0.034,0.031,0.006
20,bed,provide_comfort,-0.09,0.055,0.097,0.058,-0.004,0.137,-0.013,0.08,0.014,0.035
21,bed,Average,-0.061,0.0605,0.056,0.0175,-0.0135,0.017,-0.0125,0.023,0.0225,0.0205
22,blinds,shade_the_sun,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
23,blinds,Average,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
24,book,include_a_table_of_contents,-0.035,-0.021,-0.112,0.013,0.049,-0.024,-0.005,0.058,0.078,-0.059
25,book,include_an_index,-0.035,-0.021,-0.112,0.013,0.049,-0.024,-0.005,0.058,0.078,-0.059
26,book,teach_a_person_to_sing,0.084,0.048,0.017,0.002,0.074,0.116,0.023,0.015,0.017,0.06
