,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,alarm_clock,awaken,-0.047,0.031,0.041,-0.004,-0.071,0.003,0.035,0.116,0.121,-0.013
1,alarm_clock,ring,0.047,0.028,-0.068,-0.02,0.055,0.104,0.092,-0.033,-0.027,-0.032
2,alarm_clock,go_off,0.056,0.044,-0.041,-0.028,0.109,-0.035,-0.064,0.054,0.22,0.047
3,alarm_clock,clock_time,0.002,-0.003,0.007,-0.026,-0.023,0.087,-0.048,-0.103,0.007,0.009
4,alarm_clock,clock,0.115,0,0,0.02,-0.068,0.133,0.007,-0.026,-0.057,-0.01
5,alarm_clock,Average,0.0346,0.02,-0.0122,-0.0116,0.0004,0.0584,0.0044,0.0016,0.0528,0.0002
6,aluminum_foil,bake_things_in,-0.115,0.026,0.07,-0.03,0.021,0.622,0.182,0.072,0.025,-0.027
7,aluminum_foil,Average,-0.115,0.026,0.07,-0.03,0.021,0.622,0.182,0.072,0.025,-0.027
8,apple,eating,0.036,0.044,-0.055,0.028,0.001,0.107,0.059,-0.04,0.068,-0.022
9,apple,sate_hunger,-0.045,-0.064,0.003,-0.027,0.011,-0.024,-0.047,-0.031,-0.026,-0.027
10,apple,making_apple_pie,-0.008,-0.006,0.076,0.048,0.176,-0.041,-0.038,-0.004,0.139,0.032
11,apple,getting_good_carbs,-0.042,0.014,-0.007,0.02,0.088,0.125,-0.01,0.005,0.308,0.06
12,apple,getting_good_grades_from_a_teacher,-0.042,0.014,-0.007,0.02,0.088,0.125,-0.01,0.005,0.308,0.06
13,apple,Average,-0.0202,0.0004,0.002,0.0178,0.0728,0.0584,-0.0092,-0.013,0.1594,0.0206
14,arm_chair,sitting_in,0.042,-0.066,0.084,-0.009,0.03,0.044,0.02,0.035,0.143,-0.034
15,arm_chair,sitter,-0.036,-0.007,0.163,-0.014,-0.003,0.114,-0.045,-0.085,0.107,0.026
16,arm_chair,resting_in,0.021,0.07,-0.065,0.007,-0.014,-0.053,0.066,-0.063,0.002,0.075
17,arm_chair,sitting,-0.068,0.003,-0.014,0.048,-0.001,-0.045,-0.075,-0.025,-0.009,0.058
18,arm_chair,seat,-0.045,-0.007,0.038,0.068,0.063,-0.005,-0.037,0.056,0.03,0.027
19,arm_chair,Average,-0.0172,-0.0014,0.0412,0.02,0.015,0.011,-0.0142,-0.0164,0.0546,0.0304
20,baseball_bat,hit_a_baseball,0.011,0.081,-0.05,0.053,0.048,0.04,-0.005,-0.085,0.099,0.042
21,baseball_bat,kill_somebody,0.25,-0.013,-0.046,-0.082,0.245,-0.015,0.049,-0.057,0.006,0.057
22,baseball_bat,Average,0.1305,0.034,-0.048,-0.0145,0.1465,0.0125,0.022,-0.071,0.0525,0.0495
23,basketball,throw,-0.039,0.114,-0.006,0.066,0.036,0.035,0.051,-0.01,0.044,0.067
24,basketball,bounc,-0.027,0.028,0.114,-0.031,0.025,-0.031,-0.014,-0.079,0.069,0.101
25,basketball,making_a_basket,-0.008,-0.006,0.076,0.048,0.176,-0.041,-0.038,-0.004,0.139,0.032
26,basketball,spin_on_a_finger,-0.013,-0.027,-0.011,-0.011,-0.005,0.106,0.077,-0.047,0.102,-0.006
27,basketball,passing,-0.026,0.04,0.13,0.007,-0.037,-0.055,-0.013,-0.047,-0.014,0.082
28,basketball,Average,-0.0226,0.0298,0.0606,0.0158,0.039,0.0028,0.0126,-0.0374,0.068,0.0552
