,Object,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,person,-0.063,-0.006,0.057,-0.089,0.003,0.122,0.037,0.071,0.029,0.05
1,bicycle,-0.06,0.032,0.05,0.08,0.025,0.028,-0.001,0.012,-0.012,-0.091
2,car,-0.031,0.038,-0.025,-0.011,0.032,-0.01,0.016,-0.019,0.128,0.001
3,motorcycle,-0.033,0.034,0.012,0.017,-0.001,-0.011,0.019,-0.046,-0.07,-0.136
4,airplane,-0.026,-0.036,-0.048,0.019,0.036,-0.045,0.091,-0.046,-0.009,-0.092
5,bus,-0.007,0.06,-0.006,0.076,-0.067,-0.001,0.026,-0.119,0.161,-0.043
6,train,-0.056,0.012,-0.053,0.064,-0.008,0.076,0.006,-0.08,0.082,0.052
7,truck,-0.004,-0.022,-0.01,0.031,-0.015,0.008,0.037,-0.042,0.271,0.059
8,boat,0.04,-0.011,0.076,-0.038,-0.004,0.048,0.054,-0.069,0.034,-0.03
9,traffic_light,0.039,-0.004,0.009,-0.009,0.044,0.029,-0.018,-0.012,0.04,0.03
10,fire_hydrant,-0.011,-0.021,0.114,-0.087,-0.068,-0.036,0.022,0.051,-0.079,-0.094
11,stop_sign,-0.046,0.032,-0.001,-0.015,0.068,0.017,0.099,0.023,0.069,0.031
12,parking_meter,0.134,-0.065,0.101,0.05,0.088,0.048,0.007,-0.045,0.13,-0.097
13,bench,-0.018,-0.016,0.008,0.095,0.06,-0.036,-0.092,-0.073,-0.035,0.035
14,bird,-0.048,0.089,0.02,0.044,-0.01,0.152,0.036,0.061,-0.009,0.016
15,cat,-0.078,-0.062,-0.012,0.015,-0.006,0.029,0.013,0.045,0.008,0.075
16,dog,0.026,-0.072,0.078,0.059,0.018,0.027,0.057,0.008,-0.019,0.008
17,horse,-0.056,0.071,-0.012,-0.028,0.077,-0.065,0.019,0.086,-0.038,0.054
18,sheep,-0.063,0.038,-0.016,0.026,0.013,-0.007,-0.012,-0.019,-0.064,0.026
19,cow,0.001,0.114,-0.052,0.028,0.052,-0.027,-0.029,0.035,-0.046,0.052
20,elephant,-0.007,-0.007,-0.034,0.022,-0.032,-0.082,0.007,0.014,0.002,0.111
21,bear,-0.087,0.044,0,-0.019,0.01,0.064,0.015,0.064,-0.001,0.054
22,zebra,-0.133,0.078,-0.106,-0.017,-0.072,-0.147,-0.002,-0.05,0.03,0.071
23,giraffe,-0.037,0.021,-0.078,-0.071,-0.052,-0.088,-0.03,0.021,-0.009,0.053
24,backpack,0.014,-0.013,-0.066,0.001,0.037,0.057,-0.056,-0.027,-0.017,-0.036
25,umbrella,-0.086,0.085,-0.007,-0.001,0.008,-0.015,0.037,0.049,-0.017,0.006
26,handbag,0.054,0.017,0.034,-0.083,0.029,-0.044,-0.001,0.004,-0.077,-0.072
27,tie,0.037,0.106,0.013,-0.056,0.018,0.058,0.052,0.141,0.027,-0.05
28,suitcase,-0.016,-0.014,-0.077,0.072,-0.024,-0.042,-0.02,0.083,0.009,0.017
29,frisbee,-0.118,-0.041,0.015,-0.001,0.004,0.052,-0.031,-0.001,0.131,-0.085
30,skis,0.032,0.043,0.074,0.076,0.02,-0.024,-0.037,0.06,-0.005,-0.051
31,snowboard,0.049,0.042,0.019,-0.015,0.009,0.033,-0.004,0.031,-0.027,-0.074
32,sports_ball,0.104,-0.064,0.026,0.023,-0.015,-0.015,0.031,0.046,0.097,-0.075
33,kite,-0.009,0.027,0.066,-0.058,0.012,0.035,-0.035,0.094,-0.008,-0.026
34,baseball_glove,0.03,-0.003,-0.149,-0.01,0.048,0.018,0.014,-0.055,0.017,-0.019
35,skateboard,0.004,-0.048,0.007,0.05,-0.02,0.025,0.013,-0.002,0.006,-0.068
36,surfboard,-0.026,0.104,0.069,-0.06,0.02,0.026,-0.046,0.005,0.025,-0.103
37,wine_glass,-0.1,-0.072,0.011,-0.058,-0.067,-0.064,0.008,0.031,0.011,0.031
38,banana,-0.003,0.077,-0.034,0.01,-0.041,-0.029,0.182,0.062,0.069,-0.022
39,sandwich,0.028,0.028,0.009,-0.104,-0.075,0.016,0.292,0.014,0.026,0.007
40,orange,-0.029,-0.002,0.003,-0.032,0.045,0.009,0.128,0.003,0.022,0.052
41,broccoli,-0.058,0.012,0.017,-0.038,-0.128,0.139,0.079,-0.031,0.038,-0.015
42,carrot,-0.073,-0.028,-0.054,-0.042,-0.055,0.063,0.201,-0.002,0.018,-0.009
43,hot_dog,-0.083,-0.005,-0.08,-0.069,-0.081,0.118,0.113,0.056,0.033,0.018
44,pizza,-0.068,-0.041,-0.005,-0.057,-0.123,0.175,0.328,0.084,0.103,0.008
45,donut,-0.063,-0.024,0.032,-0.059,-0.137,0.039,0.139,0.128,0.053,-0.034
46,cake,-0.097,0.062,-0.025,-0.059,-0.067,0.15,0.305,-0.04,-0.002,0
47,couch,0.025,-0.015,0.073,0.031,0.012,0.037,-0.068,-0.095,-0.067,0.109
48,potted_plant,-0.021,0.051,0.05,0.02,-0.044,0.069,-0.024,0.018,-0.006,0.041
49,mouse,0.206,-0.042,0.033,0.115,0.079,0.055,-0.032,-0.005,-0.055,0.142
50,keyboard,0.276,0.001,0.002,0.081,0.141,0.013,-0.087,-0.014,0.047,0.093
51,oven,0.053,0,0.078,-0.009,0.029,0.528,0.155,0.057,-0.026,-0.044
52,clock,0.115,0,0,0.02,-0.068,0.133,0.007,-0.026,-0.057,-0.01
53,scissors,0.038,0.066,-0.051,0.065,0.023,-0.064,0.228,0.053,-0.009,-0.029
54,hair_drier,-0.011,0.021,0.088,-0.001,0.014,0.038,-0.029,-0.032,-0.065,-0.104
55,tooth_brush,0.06,-0.005,0.096,0.025,0.005,-0.031,-0.028,-0.011,-0.09,-0.01
