,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,person,cross_a_street,0.018,0.026,-0.03,0.007,0.021,-0.009,-0.099,0.068,0.075,-0.02
1,person,thank_another_person,0.006,-0.041,0.033,-0.151,0.023,-0.009,0.01,-0.068,0.001,-0.067
2,person,wind_clock,0.099,-0.021,-0.009,-0.003,-0.018,-0.055,-0.03,-0.009,-0.041,0
3,person,voice_an_opinion,0.158,-0.078,-0.036,-0.052,0.147,0.042,-0.056,-0.014,0.105,0.016
4,person,laugh_at_a_joke,-0.02,0.086,0.01,0.004,-0.018,0.038,-0.034,0.002,0.082,-0.017
5,person,Average,0.0522,-0.0056,-0.0064,-0.039,0.031,0.0014,-0.0418,-0.0042,0.0444,-0.0176
6,bicycle,go_over_40mph,0.056,0.044,-0.041,-0.028,0.109,-0.035,-0.064,0.054,0.22,0.047
7,bicycle,stop_with_its_brakes,-0.045,0.134,-0.005,-0.025,-0.006,0.008,0.092,-0.032,0.091,0.014
8,bicycle,travel_on_a_road,-0.089,0.06,0.154,0.02,0.11,0.074,-0.029,-0.065,0.009,-0.002
9,bicycle,corner_sharply,0.081,-0.077,-0.028,0.025,-0.006,-0.037,-0.001,-0.012,0.03,0.028
10,bicycle,stop_short,-0.046,0.032,-0.001,-0.015,0.068,0.017,0.099,0.023,0.069,0.031
11,bicycle,Average,-0.0086,0.0386,0.0158,-0.0046,0.055,0.0054,0.0194,-0.0064,0.0838,0.0236
12,car,go_fast,-0.007,0.106,-0.013,-0.005,0.151,-0.02,0.036,0.07,0.245,0.056
13,car,crash,0.016,0.118,-0.042,-0.017,0.1,-0.033,0.01,0.112,-0.009,-0.048
14,car,roll_over,-0.066,0.087,-0.046,-0.019,-0.024,-0.053,0.057,-0.033,0.071,0.007
15,car,slow_down,0.023,0.062,0.022,0.005,-0.046,0.021,-0.043,-0.063,0.196,-0.001
16,car,cost_a_lot_of_money,-0.038,-0.054,-0.082,0.051,0.19,-0.008,0.065,-0.036,0.097,0.037
17,car,Average,-0.0144,0.0638,-0.0322,0.003,0.0742,-0.0186,0.025,0.01,0.12,0.0102
18,motorcycle,jump_a_ravine,0.078,0.059,-0.028,0,0.067,-0.051,0.061,-0.022,0.168,-0.005
19,motorcycle,Average,0.078,0.059,-0.028,0,0.067,-0.051,0.061,-0.022,0.168,-0.005
20,airplane,arrive_at_the_airport,-0.129,0.038,-0.01,-0.072,-0.05,-0.009,0.02,0.008,0.212,0.078
21,airplane,circle_an_airport,0.037,-0.025,-0.016,0.038,0.084,-0.009,-0.029,-0.109,-0.1,-0.109
22,airplane,travel_through_many_time_zones,-0.089,0.06,0.154,0.02,0.11,0.074,-0.029,-0.065,0.009,-0.002
23,airplane,bank_quickly,0.001,-0.008,-0.003,-0.001,0.093,-0.026,-0.094,-0.01,0.067,-0.071
24,airplane,travel_faster_than_a_car,-0.089,0.06,0.154,0.02,0.11,0.074,-0.029,-0.065,0.009,-0.002
25,airplane,Average,-0.0538,0.025,0.0558,0.001,0.0694,0.0208,-0.0322,-0.0482,0.0394,-0.0212
26,bus,transport_people,-0.002,0.03,-0.07,0.047,0.088,0.091,0.081,0.001,0.185,0.203
27,bus,drive_to_the_city,0.024,-0.029,-0.05,-0.024,-0.029,0.033,-0.012,0.151,0.165,-0.077
28,bus,go_into_town,-0.01,0.067,0.001,0.065,0.104,0.013,-0.017,0.074,0.322,0.071
