,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,person,help,-0.068,0.087,-0.04,0.002,0.127,0.015,0.04,0.034,0.075,0.05
1,person,loving,0.091,0.007,-0.016,0.039,-0.024,0.114,0.073,0.041,-0.013,0.031
2,person,work_for_you,-0.05,-0.047,0.026,0.029,0.245,0.084,0.027,-0.008,0.158,-0.052
3,person,caring_about,0.032,0.013,0.069,0.045,-0.039,0.095,0.004,0.06,0.048,0.027
4,person,start_a_fight,0.249,-0.037,0.078,0.039,0.262,0.05,-0.039,0.19,0.089,0.038
5,person,Average,0.0508,0.0046,0.0234,0.0308,0.1142,0.0716,0.021,0.0634,0.0714,0.0188
6,bicycle,transportation,-0.009,0.04,-0.049,0.079,0.032,0.071,0.046,-0.002,0.164,0.122
7,bicycle,riding,-0.026,0.026,-0.064,0.033,0.052,-0.025,-0.004,0.004,0.003,-0.047
8,bicycle,Racing,0,0,0,0,0,0,0,0,0,0
9,bicycle,ride,-0.022,0.014,-0.09,0.067,0.061,0.003,0.022,-0.013,0.109,0.011
10,bicycle,rush,-0.02,0.064,0.004,0.033,-0.093,0.062,0.002,-0.016,0.076,0.089
11,bicycle,Average,-0.0154,0.0288,-0.0398,0.0424,0.0104,0.0222,0.0132,-0.0054,0.0704,0.035
12,car,fun,0.091,0.04,-0.03,0.024,0.065,0.049,-0.019,0.05,0.038,-0.016
13,car,drive,-0.038,-0.028,-0.026,-0.058,0.027,0.116,-0.004,0.008,0.135,0.135
14,car,transport,-0.028,0.025,-0.074,0.078,0.02,0.105,0.085,-0.002,0.19,0.177
15,car,getting_to_work,-0.038,0.024,-0.029,-0.003,0.065,0.002,-0.047,-0.011,0.297,0.071
16,car,pull_a_wagon,0.075,0.102,0.014,-0.043,0.008,-0.007,-0.003,0.006,0.307,0.111
17,car,Average,0.0124,0.0326,-0.029,-0.0004,0.037,0.053,0.0024,0.0102,0.1934,0.0956
18,motorcycle,ride,-0.022,0.014,-0.09,0.067,0.061,0.003,0.022,-0.013,0.109,0.011
19,motorcycle,rush,-0.02,0.064,0.004,0.033,-0.093,0.062,0.002,-0.016,0.076,0.089
20,motorcycle,transportation,-0.009,0.04,-0.049,0.079,0.032,0.071,0.046,-0.002,0.164,0.122
21,motorcycle,Average,-0.017,0.039333333,-0.045,0.059666667,0,0.045333333,0.023333333,-0.010333333,0.116333333,0.074
22,airplane,traveling,-0.006,0.036,-0.095,0.038,0.071,0.041,-0.013,-0.052,0.031,0.111
23,airplane,fly,0.034,0.033,-0.057,-0.009,0.032,0.077,0.023,0.073,0.031,0.078
24,airplane,flight,0.035,-0.006,-0.048,0.015,-0.019,0.041,0.066,-0.078,-0.052,0.019
25,airplane,air_transportation,-0.065,-0.018,-0.067,0.047,0.015,0.039,0.034,0.043,0.029,-0.017
26,airplane,transport,-0.028,0.025,-0.074,0.078,0.02,0.105,0.085,-0.002,0.19,0.177
27,airplane,Average,-0.006,0.014,-0.0682,0.0338,0.0238,0.0606,0.039,-0.0032,0.0458,0.0736
28,bus,transportation,-0.009,0.04,-0.049,0.079,0.032,0.071,0.046,-0.002,0.164,0.122
29,bus,travel,-1,0.079,-0.099,0.036,0.079,0.12,0.017,-0.043,0.059,0.176
30,bus,transport,-0.028,0.025,-0.074,0.078,0.02,0.105,0.085,-0.002,0.19,0.177
31,bus,transport,-0.028,0.025,-0.074,0.078,0.02,0.105,0.085,-0.002,0.19,0.177
32,bus,mass_transportaion,0.014,-0.06,-0.045,0.001,0.151,-0.01,0.033,-0.035,0.021,0.012
33,bus,Average,-0.2102,0.0218,-0.0682,0.0544,0.0604,0.0782,0.0532,-0.0168,0.1248,0.1328
34,train,riding,-0.026,0.026,-0.064,0.033,0.052,-0.025,-0.004,0.004,0.003,-0.047
35,train,Average,-0.026,0.026,-0.064,0.033,0.052,-0.025,-0.004,0.004,0.003,-0.047
36,truck,hauling_things,-0.035,0.041,-0.047,0.075,-0.022,-0.006,-0.007,-0.047,0.257,0.089
37,truck,Average,-0.035,0.041,-0.047,0.075,-0.022,-0.006,-0.007,-0.047,0.257,0.089
38,boat,travel_on_the_water,-0.089,0.06,0.154,0.02,0.11,0.074,-0.029,-0.065,0.009,-0.002
39,boat,fishing,0.003,0.035,-0.016,-0.024,0.027,0.041,0.042,-0.006,0.089,-0.046
40,boat,floating_on_the_water,0.072,0.078,0.114,0.029,0.032,-0.04,0.062,-0.025,0.043,-0.04
41,boat,sailing,0.017,0.01,0.004,-0.069,0.01,0.111,0,0.038,-0.059,0
42,boat,travel,-0.018,0.079,-0.099,0.036,0.079,0.12,0.017,-0.043,0.059,0.176
43,boat,Average,-0.003,0.0524,0.0314,-0.0016,0.0516,0.0612,0.0184,-0.0202,0.0282,0.0176
44,traffic_light,,0,0,0,0,0,0,0,0,0,0
45,traffic_light,Average,0,0,0,0,0,0,0,0,0,0
46,fire_hydrant,,0,0,0,0,0,0,0,0,0,0
47,fire_hydrant,Average,0,0,0,0,0,0,0,0,0,0
48,stop_sign,stopping,0.021,0.117,0.033,0.011,-0.046,-0.1,0.004,-0.022,-0.03,-0.082
49,stop_sign,controlling_traffic,0.046,-0.016,0.062,-0.046,0.038,-0.061,0.07,0.053,0.111,0.032
50,stop_sign,Average,0.0335,0.0505,0.0475,-0.0175,-0.004,-0.0805,0.037,0.0155,0.0405,-0.025
51,parking_meter,,0,0,0,0,0,0,0,0,0,0
52,parking_meter,Average,0,0,0,0,0,0,0,0,0,0
53,bench,seat,-0.045,-0.007,0.038,0.068,0.063,-0.005,-0.037,0.056,0.03,0.027
54,bench,resting,0.021,0.07,-0.065,0.007,-0.014,-0.053,0.066,-0.063,0.002,0.075
55,bench,sleeping,0.036,-0.016,-0.042,-0.057,-0.013,0.039,-0.016,-0.007,-0.028,0.06
56,bench,using_as_a_flat_surface,0.002,0.035,-0.051,0.126,0.438,-0.052,0.047,0.009,-0.03,-0.037
57,bench,growing_plants,-0.064,0.015,0.076,-0.042,0.099,-0.038,-0.025,0.021,0.051,0.027
58,bench,Average,-0.01,0.0194,-0.0088,0.0204,0.1146,-0.0218,0.007,0.0032,0.005,0.0304
59,bird,watching,-0.059,0.025,0.009,-0.014,0.002,0.072,-0.034,-0.044,-0.052,0.037
60,bird,laying_eggs,0.006,0.025,0.057,-0.035,-0.073,-0.006,0.058,-0.02,0.075,0.114
61,bird,keeping_in_a_zoo,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
62,bird,entertain_yourself,-0.035,0.05,0.052,-0.073,0.045,0.152,0.027,0.049,0.034,0.016
63,bird,maintaining_a_balanced_ecosystem,-0.053,0.021,-0.033,-0.011,0.056,0.038,0.032,0.05,0,-0.091
64,bird,Average,-0.0482,0.0318,0.0246,-0.0158,0.0262,0.0542,0.0002,-0.0044,0.0296,-0.0008
65,cat,companionship,0.044,0.091,0.043,-0.117,0.036,0.036,0.01,-0.043,-0.008,0.026
66,cat,catch_mice,-0.011,-0.065,0.008,-0.029,0.055,0.045,-0.046,-0.024,0.002,0.003
67,cat,a_pet,-0.051,-0.006,-0.061,-0.005,-0.062,-0.009,-0.004,0.062,-0.007,0.021
68,cat,have_a_pet,-0.014,-0.041,0.064,0.018,0.116,-0.046,-0.013,0.015,0.207,0.035
69,cat,petting,0.078,-0.011,-0.016,0.038,-0.012,-0.06,-0.065,-0.006,0.004,0.054
70,cat,Average,0.0092,-0.0064,0.0076,-0.019,0.0266,-0.0068,-0.0236,0.0008,0.0396,0.0278
71,dog,companionship,0.044,0.091,0.043,-0.117,0.036,0.036,0.01,-0.043,-0.008,0.026
72,dog,guarding_property,-0.021,-0.015,0.064,0.04,-0.051,-0.001,-0.097,0.067,0.036,0.028
73,dog,a_pet,-0.051,-0.006,-0.061,-0.005,-0.062,-0.009,-0.004,0.062,-0.007,0.021
74,dog,keeping_you_company,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
75,dog,keep_you_company,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
76,dog,Average,-0.0298,0.0164,0.0206,0.0056,0.0204,0.0076,-0.0506,0.0028,0.061,0.0034
77,horse,riding,-0.026,0.026,-0.064,0.033,0.052,-0.025,-0.004,0.004,0.003,-0.047
78,horse,ride_around_the_ranch,0.025,0.069,-0.044,-0.015,0.014,0.019,0.055,-0.022,0.097,-0.07
79,horse,pulling_a_carriage,0.11,0.123,0.006,-0.015,-0.04,-0.002,-0.037,0.019,0.037,0.068
80,horse,spread_the_alarm,-0.039,0.144,0.002,-0.017,0.105,-0.006,0.022,0.166,-0.019,0.123
81,horse,"""making_fermented_mares_milk""",0,0,0,0,0,0,0,0,0,0
82,horse,Average,0.014,0.0724,-0.02,-0.0028,0.0262,-0.0028,0.0072,0.0334,0.0236,0.0148
83,sheep,shearing,0.006,0.122,-0.011,0.005,0.004,-0.006,0.089,-0.028,-0.014,0.014
84,sheep,Average,0.006,0.122,-0.011,0.005,0.004,-0.006,0.089,-0.028,-0.014,0.014
85,cow,milk_and_meat,0.034,0.065,0.024,-0.07,0.027,-0.132,-0.132,-0.087,-0.068,0.028
86,cow,Milking,0,0,0,0,0,0,0,0,0,0
87,cow,Average,0.017,0.0325,0.012,-0.035,0.0135,-0.066,-0.066,-0.0435,-0.034,0.014
88,elephant,,0,0,0,0,0,0,0,0,0,0
89,elephant,Average,0,0,0,0,0,0,0,0,0,0
90,bear,,0,0,0,0,0,0,0,0,0,0
91,bear,Average,0,0,0,0,0,0,0,0,0,0
92,zebra,,0,0,0,0,0,0,0,0,0,0
93,zebra,Average,0,0,0,0,0,0,0,0,0,0
94,giraffe,,0,0,0,0,0,0,0,0,0,0
95,giraffe,Average,0,0,0,0,0,0,0,0,0,0
96,backpack,,0,0,0,0,0,0,0,0,0,0
97,backpack,Average,0,0,0,0,0,0,0,0,0,0
98,umbrella,protection_from_the_rain,-0.061,0.067,-0.104,0.012,0.09,-0.046,-0.053,-0.008,0.036,0.005
99,umbrella,keeping_you_dry,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
100,umbrella,shelter_from_rain,-0.024,0.068,-0.018,-0.025,0.051,0.056,-0.062,0.071,0.041,0.017
101,umbrella,keeping_the_sun_off_you,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
102,umbrella,stay_dry_in_the_rain,0.018,0.061,0.099,0.025,0.077,0.042,-0.006,-0.014,0.172,0.113
103,umbrella,Average,-0.0534,0.0544,0.0106,0.024,0.084,0.0164,-0.057,-0.013,0.0862,-0.005
104,handbag,carrying_makeup,-0.036,-0.02,-0.024,-0.029,0.011,-0.01,0.002,-0.05,0.062,-0.013
105,handbag,carry_makeup,-0.056,0.022,-0.125,0.046,0.023,0.07,-0.008,0.028,0.373,0.032
106,handbag,carry_money,-0.056,0.022,-0.125,0.046,0.023,0.07,-0.008,0.028,0.373,0.032
107,handbag,holding_personal_things,0.011,-0.004,-0.026,0.024,0.045,0.007,0.041,0.038,0.114,0.06
108,handbag,carrying_things_around,-0.036,-0.02,-0.024,-0.029,0.011,-0.01,0.002,-0.05,0.062,-0.013
109,handbag,Average,-0.0346,-6.94E-19,-0.0648,0.0116,0.0226,0.0254,0.0058,-0.0012,0.1968,0.0196
110,tie,,0,0,0,0,0,0,0,0,0,0
111,tie,Average,0,0,0,0,0,0,0,0,0,0
112,suitcase,carrying_clothes,-0.036,-0.02,-0.024,-0.029,0.011,-0.01,0.002,-0.05,0.062,-0.013
113,suitcase,packing_clothes_for_a_trip,-0.087,0.054,-0.058,-0.025,-0.068,-0.001,-0.018,-0.02,0.095,0.112
114,suitcase,living_out_of,0.071,-0.026,0.172,-0.044,0.133,0.105,0.046,-0.019,0.056,0.049
115,suitcase,packing,-0.117,0.054,-0.043,-0.058,-0.09,0.033,-0.045,-0.006,0.087,0.088
116,suitcase,carying_clothes,-0.067,0.043,-0.032,-0.007,0.052,0.039,-0.015,0.079,0.004,-0.064
117,suitcase,Average,-0.0472,0.021,0.003,-0.0326,0.0076,0.0332,-0.006,-0.0032,0.0608,0.0344
118,frisbee,playing_catch,0.039,0.02,-0.049,0.062,-0.009,-0.036,-0.011,0.042,0.067,0.002
119,frisbee,having_fun,0.013,0.024,-0.037,-0.034,0.036,-0.018,0.044,-0.041,-0.062,0.047
120,frisbee,catching,-0.018,0.066,0.006,0.042,-0.034,-0.042,-0.062,-0.022,0.088,-0.051
121,frisbee,ultimate_frisbee,-0.043,-0.002,0.02,0.018,0.013,0.031,0.043,0.031,0.159,-0.023
122,frisbee,catch_and_throw_back,-0.011,-0.065,0.008,-0.029,0.055,0.045,-0.046,-0.024,0.002,0.003
123,frisbee,Average,-0.004,0.0086,-0.0104,0.0118,0.0122,-0.004,-0.0064,-0.0028,0.0508,-0.0044
124,skis,,0,0,0,0,0,0,0,0,0,0
125,skis,Average,0,0,0,0,0,0,0,0,0,0
126,snowboard,,0,0,0,0,0,0,0,0,0,0
127,snowboard,Average,0,0,0,0,0,0,0,0,0,0
128,sports_ball,playing_a_game,0.039,0.02,-0.049,0.062,-0.009,-0.036,-0.011,0.042,0.067,0.002
129,sports_ball,practice_sports,0.006,-0.048,0,0.081,0.064,-0.009,-0.07,0.067,0.064,0.009
130,sports_ball,playing_sports,0.039,0.02,-0.049,0.062,-0.009,-0.036,-0.011,0.042,0.067,0.002
131,sports_ball,playing_basketball,0.039,0.02,-0.049,0.062,-0.009,-0.036,-0.011,0.042,0.067,0.002
132,sports_ball,kick,-0.097,0.139,0.084,-0.007,0.044,-0.007,0.073,-0.009,0.006,0.036
133,sports_ball,Average,0.0052,0.0302,-0.0126,0.052,0.0162,-0.0248,-0.006,0.0368,0.0542,0.0102
134,kite,flying,0.018,0.019,-0.05,-0.012,0.014,0.004,0.048,0.042,-0.013,0.07
135,kite,fun,0.091,0.04,-0.03,0.024,0.065,0.049,-0.019,0.05,0.038,-0.016
136,kite,play_games,0.036,-0.061,0.017,-0.024,0.009,-0.025,-0.048,0.073,0.163,0.008
137,kite,a_hobby,-0.051,-0.006,-0.061,-0.005,-0.062,-0.009,-0.004,0.062,-0.007,0.021
