,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,refrigerator,cool_food,0.032,0.049,0.043,-0.062,0.049,0.073,-0.004,0.045,0.086,0.041
1,refrigerator,keep_food_cold,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
2,refrigerator,keep_ice_cold,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
3,refrigerator,store_food_for_long_times,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
4,refrigerator,stock_food,0.043,0.027,-0.024,-0.029,0.07,0.004,0.088,0.082,0.085,0.076
5,refrigerator,Average,0.0224,-0.0010000000000000002,0.0428,-0.00039999999999999964,0.07060000000000001,0.0156,-0.0196,0.0518,0.1058,0.043
6,remote,control_a_TV,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
7,remote,Average,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
8,tv,control_minds,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
9,tv,change_your_subjective_consciousness,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,tv,display_images,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,tv,be_blaring,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,tv,require_electricity,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,tv,Average,-0.7292,-0.8084,-0.7986,-0.8029999999999999,-0.7544000000000001,-0.7656000000000001,-0.8092,-0.787,-0.7856,-0.8126
