,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,refrigerator,keeping_food_cold,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
1,refrigerator,keeping_food_from_spoiling,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
2,refrigerator,causing_the_jello_to_jell,0.13,0.058,-0.016,-0.072,0.021,0.043,-0.082,0.015,-0.079,0.043
3,refrigerator,storing_foods,0.003,-0.055,-0.03,0.002,0.113,0.04,-0.013,0.061,-0.0,0.05
4,refrigerator,keep_food_cold,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
5,refrigerator,Average,-0.0176,0.010600000000000004,0.0098,0.0188,0.08280000000000001,0.022,-0.0678,-0.010600000000000002,0.059199999999999996,-0.009000000000000001
6,remote,remotely_control_a_TV,0.156,-0.028,-0.044,-0.026,0.051,0.016,0.085,-0.032,0.036,0.037
7,remote,Average,0.156,-0.028,-0.044,-0.026,0.051,0.016,0.085,-0.032,0.036,0.037
8,tv,entertainment,-0.023,0.085,-0.011,-0.108,-0.017,0.088,0.043,-0.02,-0.008,0.048
9,tv,watching_movies,-0.059,0.025,0.009,-0.014,0.002,0.072,-0.034,-0.044,-0.052,0.037
10,tv,watch_the_news,-0.063,0.055,0.06,0.087,-0.002,0.001,-0.028,-0.004,0.166,-0.009
11,tv,give_information,-0.014,0.145,0.04,0.075,0.127,-0.014,0.025,0.081,0.252,-0.058
12,tv,display_a_transmitted_image,0.254,-0.004,-0.036,-0.039,0.118,-0.001,0.05,0.107,-0.036,0.048
13,tv,Average,0.019,0.0612,0.012400000000000001,0.0001999999999999988,0.045599999999999995,0.029199999999999993,0.011199999999999998,0.024,0.0644,0.0132
