,Unnamed: 0,Object Type,Actionable Properties
0,0,alarm_clock,Pickupable
1,1,aluminum_foil,Pickupable
2,2,apple,"Pickupable, Sliceable"
3,3,armchair,"Receptacle, Moveable"
4,4,baseball_bat,Pickupable
5,5,basketball,Pickupable
6,6,bathtub,Receptacle
7,7,bathtub_basin,Receptacle
8,8,bed,"Receptacle, Dirtyable"
9,9,blinds,Openable
10,10,book,"Openable, Pickupable"
11,11,boots,Pickupable
12,12,bottle,"Pickupable, Fillable, Breakable"
13,13,bowl,"Pickupable, Receptacle, Fillable, Breakable, Dirtyable"
14,14,box,"Openable, Pickupable, Receptacle"
15,15,bread,"Pickupable, Sliceable"
16,16,butter_knife,Pickupable
17,17,cabinet,"Openable, Receptacle"
18,18,candle,"Pickupable, Toggleable"
19,19,cd,Pickupable
20,20,cell_phone,"Pickupable, Toggleable, Breakable"
21,21,chair,Moveable
22,22,cloth,"Pickupable, Dirtyable"
23,23,coffee_machine,"Toggleable, Receptacle, Moveable"
24,24,coffee_table,"Receptacle, Moveable"
25,25,counter_top,Receptacle
26,26,credit_card,Pickupable
27,27,cup,"Pickupable, Receptacle, Fillable, Breakable, Dirtyable"
28,28,curtains,
29,29,desk,"Receptacle, Moveable"
30,30,desk_lamp,"Toggleable, Moveable"
31,31,desktop,Moveable
32,32,dining_table,"Receptacle, Moveable"
33,33,dish_sponge,Pickupable
34,34,dog_bed,Moveable
35,35,drawer,"Openable, Receptacle"
36,36,dresser,"Receptacle, Moveable"
37,37,dumbbell,Pickupable
38,38,egg,"Pickupable, Sliceable, Breakable"
39,39,faucet,Toggleable
40,40,floor,
41,41,floor_lamp,"Toggleable, Moveable"
42,42,footstool,Moveable
43,43,fork,Pickupable
44,44,fridge,"Openable, Receptacle"
45,45,garbage_bag,Moveable
46,46,garbage_can,"Receptacle, Moveable"
47,47,hand_towel,Pickupable
48,48,hand_towel_holder,Receptacle
49,49,house_plant,"Fillable, Moveable"
50,50,kettle,"Openable, Pickupable, Fillable"
51,51,key_chain,Pickupable
52,52,knife,Pickupable
53,53,ladle,Pickupable
54,54,laptop,"Openable, Pickupable, Toggleable, Breakable"
55,55,laundry_hamper,"Receptacle, Moveable"
56,56,lettuce,"Pickupable, Sliceable"
57,57,light_switch,Toggleable
58,58,microwave,"Openable, Toggleable, Receptacle, Moveable"
59,59,mirror,"Breakable, Dirtyable"
60,60,mug,"Pickupable, Receptacle, Fillable, Breakable, Dirtyable"
61,61,newspaper,Pickupable
62,62,ottoman,"Receptacle, Moveable"
63,63,painting,
64,64,pan,"Pickupable, Receptacle, Dirtyable"
65,65,paper_towel_roll,"Pickupable, UsedUp"
66,66,pen,Pickupable
67,67,pencil,Pickupable
68,68,pepper_shaker,Pickupable
69,69,pillow,Pickupable
70,70,plate,"Pickupable, Receptacle, Breakable, Dirtyable"
71,71,plunger,Pickupable
72,72,poster,
73,73,pot,"Pickupable, Receptacle, Fillable, Dirtyable"
74,74,potato,"Pickupable, Sliceable, Cookable"
75,75,remote_control,Pickupable
76,76,room_decor,Moveable
77,77,safe,"Openable, Receptacle, Moveable"
78,78,salt_shaker,Pickupable
79,79,scrub_brush,Pickupable
80,80,shelf,Receptacle
81,81,shelving_unit,Moveable
82,82,shower_curtain,Openable
83,83,shower_door,"Openable, Breakable"
84,84,shower_glass,Breakable
85,85,shower_head,Toggleable
86,86,side_table,"Receptacle, Moveable"
87,87,sink,Receptacle
88,88,sink_basin,Receptacle
89,89,soap_bar,Pickupable
90,90,soap_bottle,"Pickupable, UsedUp"
91,91,sofa,"Receptacle, Moveable"
92,92,spatula,Pickupable
93,93,spoon,Pickupable
94,94,spray_bottle,Pickupable
