,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,clock,measure_time,0.015,-0.025,-0.034,0.016,0.126,-0.007,0.12,-0.024,-0.001,-0.007
1,clock,keeping_time,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
2,clock,set_an_alarm,0.09,0.06,0.075,0.077,0.073,0.096,0.084,0.052,0.121,0.021
3,clock,timing_something,0.051,0.033,-0.009,0.062,-0.056,0.091,-0.027,0.046,0.071,0.048
4,clock,setting_alarm,0.022,-0.039,0.09,0.035,0.1,0.069,0.108,0.01,0.017,-0.025
5,clock,Average,0.015599999999999998,0.0134,0.031999999999999994,0.0488,0.0688,0.0528,0.040600000000000004,0.005399999999999999,0.0598,-0.0086
6,scissors,cut,0.011,0.182,-0.034,-0.089,0.008,0.059,0.477,0.087,-0.035,0.034
7,scissors,cut_a_string,-0.008,0.037,0.035,-0.047,-0.006,-0.099,-0.105,-0.04,0.12,-0.143
8,scissors,"""cut_someones_hair""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,scissors,cut_your_sisters_pigtail_off,0.045,0.132,-0.031,0.017,0.013,-0.004,0.209,0.055,0.195,0.08
10,scissors,cut_leather,0.045,0.132,-0.031,0.017,0.013,-0.004,0.209,0.055,0.195,0.08
11,scissors,Average,0.0186,0.09659999999999999,-0.012199999999999999,-0.0204,0.005599999999999999,-0.009600000000000003,0.15799999999999997,0.0314,0.095,0.010200000000000004
