,Unnamed: 0,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
1,1,alarm_clock,Average,0.062,0.004,-0.058,-0.014,0.11,-0.017,-0.061,0.061,0.176,0.044
3,3,aluminum_foil,Average,0,0,0,0,0,0,0,0,0,0
6,6,apple,Average,0.0675,0.076,-0.034,-0.0005,0.0205,-0.013,-0.027,0.011,0.1175,0.0315
8,8,armchair,Average,0,0,0,0,0,0,0,0,0,0
12,12,baseball_bat,Average,0.017333333,0.026333333,-0.008333333,0.038333333,0.025666667,-0.033666667,-0.021,-0.01,0.074333333,0.049666667
14,14,basketball,Average,0,0,0,0,0,0,0,0,0,0
16,16,bathtub,Average,0,0,0,0,0,0,0,0,0,0
18,18,bathtub_basin,Average,0,0,0,0,0,0,0,0,0,0
21,21,bed,Average,-0.061,0.0605,0.056,0.0175,-0.0135,0.017,-0.0125,0.023,0.0225,0.0205
23,23,blinds,Average,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
28,28,book,Average,0.0245,0.0135,-0.0475,0.0075,0.0615,0.046,0.009,0.0365,0.0475,0.0005
30,30,boots,Average,0,0,0,0,0,0,0,0,0,0
34,34,bottle,Average,0.042666667,-0.010333333,0.084,0.045333333,0.003333333,0.029,-0.028,0.047666667,0.064,0.043666667
36,36,bowl,Average,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
42,42,box,Average,0.0614,-0.021,0.1078,0.0282,0.0432,0.0058,-0.032,0.0792,0.0676,0.038
48,48,bread,Average,0.0284,0.012,-0.0198,0.0318,0.0538,0.0192,-0.0222,-0.0344,0.223,0.0182
50,50,butter_knife,Average,-0.02,-0.037,0.014,-0.008,0.005,0.335,0.055,-0.037,-0.025,0.048
52,52,cabinet,Average,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
