,Unnamed: 0,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
5,5,alarm_clock,Average,0.0346,0.02,-0.0122,-0.0116,0.0004,0.0584,0.0044,0.0016,0.0528,0.0002
7,7,aluminum_foil,Average,-0.115,0.026,0.07,-0.03,0.021,0.622,0.182,0.072,0.025,-0.027
13,13,apple,Average,-0.0202,0.0004,0.002,0.0178,0.0728,0.0584,-0.0092,-0.013,0.1594,0.0206
19,19,armchair,Average,-0.0172,-0.0014,0.0412,0.02,0.015,0.011,-0.0142,-0.0164,0.0546,0.0304
22,22,baseball_bat,Average,0.1305,0.034,-0.048,-0.0145,0.1465,0.0125,0.022,-0.071,0.0525,0.0495
28,28,basketball,Average,-0.0226,0.0298,0.0606,0.0158,0.039,0.0028,0.0126,-0.0374,0.068,0.0552
34,34,bathtub,Average,-0.0096,-0.0056,-0.0214,0.1286,0.0472,-0.015,0.02,-0.0126,0.1244,0.0196
36,36,bathtub_basin,Average,0,0,0,0,0,0,0,0,0,0
42,42,bed,Average,0.0348,-0.0184,0.0262,0.0594,0.0836,-0.011,-0.0042,0.0072,0.075,0.0052
45,45,blinds,Average,-0.001,-0.041,-0.007,0.016,0.062,0.0275,-0.0025,0.002,0.12,0.001
51,51,book,Average,0.0098,0.0426,-0.0648,-0.005,0.014,0.0522,0.0258,0.0112,0.0182,0.048
53,53,boots,Average,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
59,59,bottle,Average,0.0126,-0.0068,-0.0092,0.0144,0.0708,0.0108,-0.0124,0.0528,0.033,0.0398
65,65,bowl,Average,0.0252,-0.0154,0.04,0.0876,0.016,-0.006,-0.0402,-0.033,0.2102,0.0182
71,71,box,Average,-0.0302,-0.0154,0.0038,-0.02,0.0374,0.0402,-0.0132,0.0542,0.0788,0.1012
77,77,bread,Average,-0.0272,0.067,0.0152,-0.0016,-0.024,0.1648,0.1508,-0.0216,-0.0062,-0.012
79,79,butter_knife,Average,-0.042,0.044,0.012,0.044,-0.021,-0.06,0.101,0.118,0.007,0.076
85,85,cabinet,Average,0.0138,0.0032,0.0698,-0.0014,0.0786,0.0324,-0.017,0.076,-0.0038,0.0812
91,91,candle,Average,0.0486,0.052,0.0508,0.0342,0.014,0.0434,0.0466,0.0508,-0.0202,0.0594
97,97,cd,Average,-0.0224,0.0022,0.0182,0.0126,0.039,-0.0102,-0.007,0.0104,-0.022,-0.176
99,99,cell_phone,Average,0.036,0.135,0.007,-0.075,0.044,0.014,-0.007,0.048,0.092,0.053
105,105,chair,Average,0.0126,0.018,0.0054,-0.0014,0.0524,-0.0062,0.0024,0.0474,-0.0048,0.0372
111,111,cloth,Average,-0.0304,0.0222,0.02,0.1306,0.0136,0.071,-0.0044,0.0118,0.1008,0.013
113,113,coffee_machine,Average,0,0,0,0,0,0,0,0,0,0
119,119,coffee_table,Average,0.058,-0.0246,0.0252,0.0044,0.0552,-0.0234,0.0184,0.0168,0.096,0.0196
121,121,counter_top,Average,0,0,0,0,0,0,0,0,0,0
127,127,credit_card,Average,-0.0056,0.0366,0.1676,-0.0558,0.0576,-0.0096,0.0634,0.0146,0.0946,0.0758
133,133,cup,Average,0.0144,0.0354,0.0128,0.0366,0.0338,-0.0144,-0.0088,-0.0042,0.068,-0.0146
139,139,curtains,Average,0.004,0.0228,0.0038,0.037,0.1048,0.0242,-0.0028,0.0426,0.0636,-0.0378
145,145,desk,Average,-0.0056,-0.017,0.0316,0.0262,0.0122,0.0504,0.0172,0.0316,-0.0138,0.0374
147,147,desk_lamp,Average,0,0,0,0,0,0,0,0,0,0
149,149,desktop,Average,0,0,0,0,0,0,0,0,0,0
155,155,dining_table,Average,0.005,0.0234,-0.0098,0.0432,0.033,0.0728,0.0392,0.0252,0.0642,0.0022
157,157,dish_sponge,Average,-0.136,0.073,0.102,0.327,-0.004,0.148,-0.071,-0.001,0.143,0.057
