,Object1,Object2,Relatedness
0,alarm_clock,alarm_clock,1.0
1,alarm_clock,aluminum_foil,0.031
2,alarm_clock,apple,0.05
3,alarm_clock,arm_chair,0.034
4,alarm_clock,baseball_bat,-0.02
5,alarm_clock,basketball_bat,-0.008
6,alarm_clock,bathtub,0.154
7,alarm_clock,bathtub_basin,-0.014
8,alarm_clock,bed,0.293
9,alarm_clock,blinds,0.095
10,alarm_clock,book,0.022
11,alarm_clock,boots,0.0
12,alarm_clock,bottle,-0.002
13,alarm_clock,bowl,-0.056
14,alarm_clock,box,0.076
15,alarm_clock,bread,0.041
16,alarm_clock,butter_knife,-0.143
17,alarm_clock,cabinet,0.012
18,alarm_clock,cabinet,0.012
19,alarm_clock,candle,0.041
20,alarm_clock,cd,0.026
21,alarm_clock,cell_phone,0.232
22,alarm_clock,chair,0.036
23,alarm_clock,cloth,-0.101
24,alarm_clock,coffee_machine,0.304
25,alarm_clock,coffee_table,0.204
26,alarm_clock,counter_top,0.005
27,alarm_clock,credit_card,0.027
28,alarm_clock,cup,0.028
29,alarm_clock,curtains,0.044
30,alarm_clock,desk,0.154
31,alarm_clock,desk_lamp,0.128
32,alarm_clock,desktop,0.118
33,alarm_clock,dining_table,0.05
34,alarm_clock,dish_sponge,0.119
35,alarm_clock,dog_bed,-0.0
36,alarm_clock,drawer,-1.0
37,alarm_clock,dresser,-1.0
38,alarm_clock,dumbbell,-1.0
39,alarm_clock,egg,-1.0
40,alarm_clock,faucet,-1.0
41,alarm_clock,floor,-1.0
42,alarm_clock,floor_lamp,-1.0
43,alarm_clock,foot_stool,-1.0
44,alarm_clock,fork,-1.0
45,alarm_clock,fridge,-1.0
46,alarm_clock,garbage_bag,-1.0
47,alarm_clock,hand_towel,-1.0
48,alarm_clock,hand_towel_holder,-1.0
49,alarm_clock,house_plant,-1.0
50,alarm_clock,kettle,-1.0
51,alarm_clock,key_chain,-1.0
52,alarm_clock,knife,-1.0
53,alarm_clock,ladle,-1.0
54,alarm_clock,laptop,0.061
55,alarm_clock,laundry_hamper,0.043
56,alarm_clock,lettuce,-0.067
57,alarm_clock,light_switch,0.041
58,alarm_clock,microwave,0.161
59,alarm_clock,mirror,0.136
60,alarm_clock,mug,0.058
61,alarm_clock,newspaper,0.086
62,alarm_clock,ottoman,0.014
63,alarm_clock,painting,-0.053
64,alarm_clock,pan,0.014
65,alarm_clock,paper_towel_roll,0.053
66,alarm_clock,pen,-0.024
67,alarm_clock,pencil,0.022
68,alarm_clock,pepper_shaker,0.084
69,alarm_clock,pillow,0.175
70,alarm_clock,plate,-0.057
71,alarm_clock,plunger,0.112
72,alarm_clock,poster,0.012
73,alarm_clock,pot,0.031
74,alarm_clock,potato,0.026
75,alarm_clock,remote_control,0.125
76,alarm_clock,room_decor,0.07
77,alarm_clock,safe,-0.024
78,alarm_clock,salt_shaker,0.075
79,alarm_clock,scrub_brush,0.004
80,alarm_clock,shelf,0.083
81,alarm_clock,shelving_unit,0.013
82,alarm_clock,shower_curtain,0.265
83,alarm_clock,shower_door,0.236
84,alarm_clock,shower_glass,0.089
85,alarm_clock,shower_head,0.236
86,alarm_clock,side_table,0.003
87,alarm_clock,sink,0.057
88,alarm_clock,sink_basin,0.005
89,alarm_clock,soap_bar,0.015
90,alarm_clock,soap_bottle,0.015
91,alarm_clock,soap_bottle,0.015
92,alarm_clock,sofa,0.118
93,alarm_clock,spatula,0.103
94,alarm_clock,spoon,0.028
95,alarm_clock,spray_bottle,0.007
96,alarm_clock,statue,0.0
97,alarm_clock,stool,-0.024
98,alarm_clock,stove_burner,0.061
99,alarm_clock,stove_knob,0.109
100,alarm_clock,table_top_decor,0.047
101,alarm_clock,target_circle,-0.06
102,alarm_clock,teddy_bear,0.121
103,alarm_clock,television,0.17
104,alarm_clock,tennis_racket,-0.025
105,alarm_clock,tissue_box,-0.003
106,alarm_clock,toaster,0.227
107,alarm_clock,toilet,0.068
108,alarm_clock,toilet_paper,0.099
109,alarm_clock,toilet_paper_hanger,0.099
110,alarm_clock,tomato,-0.013
111,alarm_clock,towel,0.022
112,alarm_clock,towel_holder,0.165
113,alarm_clock,tv_stand,0.147
114,alarm_clock,vacuum_cleaner,0.064
115,alarm_clock,vase,-1.0
116,alarm_clock,watch,-1.0
117,alarm_clock,watering_can,-1.0
118,alarm_clock,window,-1.0
119,alarm_clock,wine_bottle,-1.0
120,alarm_clock,oven,-1.0
121,alarm_clock,tooth_brush,-1.0
122,alarm_clock,hair_drier,-1.0
123,alarm_clock,keyboard,-1.0
124,alarm_clock,scissors,-1.0
125,alarm_clock,mouse,-1.0
126,aluminum_foil,alarm_clock,0.031
127,aluminum_foil,aluminum_foil,1.0
128,aluminum_foil,apple,-0.015
129,aluminum_foil,arm_chair,-0.02
130,aluminum_foil,baseball_bat,0.019
131,aluminum_foil,basketball_bat,0.005
132,aluminum_foil,bathtub,0.046
133,aluminum_foil,bathtub_basin,-0.037
134,aluminum_foil,bed,-0.01
135,aluminum_foil,blinds,0.022
136,aluminum_foil,book,-0.068
137,aluminum_foil,boots,-1.0
138,aluminum_foil,bottle,-1.0
139,aluminum_foil,bowl,-1.0
140,aluminum_foil,box,-1.0
141,aluminum_foil,bread,-1.0
142,aluminum_foil,butter_knife,-1.0
143,aluminum_foil,cabinet,-1.0
144,aluminum_foil,cabinet,-1.0
145,aluminum_foil,candle,-1.0
146,aluminum_foil,cd,-1.0
147,aluminum_foil,cell_phone,-1.0
148,aluminum_foil,chair,-1.0
149,aluminum_foil,cloth,-1.0
150,aluminum_foil,coffee_machine,-1.0
151,aluminum_foil,coffee_table,-1.0
152,aluminum_foil,counter_top,-1.0
153,aluminum_foil,credit_card,-1.0
154,aluminum_foil,cup,-1.0
155,aluminum_foil,curtains,-1.0
156,aluminum_foil,desk,-1.0
157,aluminum_foil,desk_lamp,-1.0
158,aluminum_foil,desktop,-1.0
159,aluminum_foil,dining_table,-1.0
160,aluminum_foil,dish_sponge,-1.0
161,aluminum_foil,dog_bed,-1.0
162,aluminum_foil,drawer,-1.0
163,aluminum_foil,dresser,-1.0
164,aluminum_foil,dumbbell,-1.0
165,aluminum_foil,egg,-1.0
166,aluminum_foil,faucet,-1.0
167,aluminum_foil,floor,-1.0
168,aluminum_foil,floor_lamp,-1.0
169,aluminum_foil,foot_stool,-1.0
170,aluminum_foil,fork,-1.0
171,aluminum_foil,fridge,-1.0
172,aluminum_foil,garbage_bag,-1.0
173,aluminum_foil,hand_towel,-1.0
174,aluminum_foil,hand_towel_holder,-1.0
175,aluminum_foil,house_plant,-1.0
176,aluminum_foil,kettle,-1.0
177,aluminum_foil,key_chain,-1.0
178,aluminum_foil,knife,-1.0
179,aluminum_foil,ladle,-1.0
180,aluminum_foil,laptop,-1.0
181,aluminum_foil,laundry_hamper,-1.0
182,aluminum_foil,lettuce,-1.0
183,aluminum_foil,light_switch,-1.0
184,aluminum_foil,microwave,-1.0
185,aluminum_foil,mirror,-1.0
186,aluminum_foil,mug,-1.0
187,aluminum_foil,newspaper,-1.0
188,aluminum_foil,ottoman,-1.0
189,aluminum_foil,painting,-1.0
190,aluminum_foil,pan,-1.0
191,aluminum_foil,paper_towel_roll,-1.0
192,aluminum_foil,pen,-1.0
193,aluminum_foil,pencil,-1.0
194,aluminum_foil,pepper_shaker,-1.0
195,aluminum_foil,pillow,-1.0
196,aluminum_foil,plate,-1.0
197,aluminum_foil,plunger,-1.0
198,aluminum_foil,poster,-1.0
199,aluminum_foil,pot,-1.0
200,aluminum_foil,potato,-1.0
201,aluminum_foil,remote_control,-1.0
202,aluminum_foil,room_decor,-1.0
203,aluminum_foil,safe,-1.0
204,aluminum_foil,salt_shaker,-1.0
205,aluminum_foil,scrub_brush,-1.0
206,aluminum_foil,shelf,-1.0
207,aluminum_foil,shelving_unit,-1.0
208,aluminum_foil,shower_curtain,-1.0
209,aluminum_foil,shower_door,-1.0
210,aluminum_foil,shower_glass,-1.0
211,aluminum_foil,shower_head,-1.0
212,aluminum_foil,side_table,-1.0
213,aluminum_foil,sink,-1.0
214,aluminum_foil,sink_basin,-1.0
215,aluminum_foil,soap_bar,-1.0
216,aluminum_foil,soap_bottle,-1.0
217,aluminum_foil,soap_bottle,-1.0
218,aluminum_foil,sofa,-1.0
219,aluminum_foil,spatula,-1.0
220,aluminum_foil,spoon,-1.0
221,aluminum_foil,spray_bottle,-1.0
222,aluminum_foil,statue,-1.0
223,aluminum_foil,stool,-1.0
224,aluminum_foil,stove_burner,-1.0
225,aluminum_foil,stove_knob,-1.0
226,aluminum_foil,table_top_decor,-1.0
227,aluminum_foil,target_circle,-1.0
228,aluminum_foil,teddy_bear,-1.0
229,aluminum_foil,television,-1.0
230,aluminum_foil,tennis_racket,-1.0
231,aluminum_foil,tissue_box,-1.0
232,aluminum_foil,toaster,-1.0
233,aluminum_foil,toilet,-1.0
234,aluminum_foil,toilet_paper,-1.0
235,aluminum_foil,toilet_paper_hanger,-1.0
236,aluminum_foil,tomato,-1.0
237,aluminum_foil,towel,-1.0
238,aluminum_foil,towel_holder,-1.0
239,aluminum_foil,tv_stand,-1.0
240,aluminum_foil,vacuum_cleaner,-1.0
241,aluminum_foil,vase,-1.0
242,aluminum_foil,watch,-1.0
243,aluminum_foil,watering_can,-1.0
244,aluminum_foil,window,-1.0
245,aluminum_foil,wine_bottle,-1.0
246,aluminum_foil,oven,-1.0
247,aluminum_foil,tooth_brush,-1.0
248,aluminum_foil,hair_drier,-1.0
249,aluminum_foil,keyboard,-1.0
250,aluminum_foil,scissors,-1.0
251,aluminum_foil,mouse,-1.0
252,apple,alarm_clock,0.05
253,apple,aluminum_foil,-0.015
254,apple,apple,1.0
255,apple,arm_chair,0.041
256,apple,baseball_bat,0.021
257,apple,basketball_bat,-0.019
258,apple,bathtub,-0.026
259,apple,bathtub_basin,0.095
260,apple,bed,-0.004
261,apple,blinds,0.033
262,apple,book,-0.06
263,apple,boots,-1.0
264,apple,bottle,-1.0
265,apple,bowl,-1.0
266,apple,box,-1.0
267,apple,bread,-1.0
268,apple,butter_knife,-1.0
269,apple,cabinet,-1.0
270,apple,cabinet,-1.0
271,apple,candle,-1.0
272,apple,cd,-1.0
273,apple,cell_phone,-1.0
274,apple,chair,-1.0
275,apple,cloth,-1.0
276,apple,coffee_machine,-1.0
277,apple,coffee_table,-1.0
278,apple,counter_top,-1.0
279,apple,credit_card,-1.0
280,apple,cup,-1.0
281,apple,curtains,-1.0
282,apple,desk,-1.0
283,apple,desk_lamp,-1.0
284,apple,desktop,-1.0
285,apple,dining_table,-1.0
286,apple,dish_sponge,-1.0
287,apple,dog_bed,-1.0
288,apple,drawer,-1.0
289,apple,dresser,-1.0
290,apple,dumbbell,-1.0
291,apple,egg,-1.0
292,apple,faucet,-1.0
293,apple,floor,-1.0
294,apple,floor_lamp,-1.0
295,apple,foot_stool,-1.0
296,apple,fork,-1.0
297,apple,fridge,-1.0
298,apple,garbage_bag,-1.0
299,apple,hand_towel,-1.0
300,apple,hand_towel_holder,-1.0
301,apple,house_plant,-1.0
302,apple,kettle,-1.0
303,apple,key_chain,-1.0
304,apple,knife,-1.0
305,apple,ladle,-1.0
306,apple,laptop,-1.0
307,apple,laundry_hamper,-1.0
308,apple,lettuce,-1.0
309,apple,light_switch,-1.0
310,apple,microwave,-1.0
311,apple,mirror,-1.0
312,apple,mug,-1.0
313,apple,newspaper,-1.0
314,apple,ottoman,-1.0
315,apple,painting,-1.0
316,apple,pan,-1.0
317,apple,paper_towel_roll,-1.0
318,apple,pen,-1.0
319,apple,pencil,-1.0
320,apple,pepper_shaker,-1.0
321,apple,pillow,-1.0
322,apple,plate,-1.0
323,apple,plunger,-1.0
324,apple,poster,-1.0
325,apple,pot,-1.0
326,apple,potato,-1.0
327,apple,remote_control,-1.0
328,apple,room_decor,-1.0
329,apple,safe,-1.0
330,apple,salt_shaker,-1.0
331,apple,scrub_brush,-1.0
332,apple,shelf,-1.0
333,apple,shelving_unit,-1.0
334,apple,shower_curtain,-1.0
335,apple,shower_door,-1.0
336,apple,shower_glass,-1.0
337,apple,shower_head,-1.0
338,apple,side_table,-1.0
339,apple,sink,-1.0
340,apple,sink_basin,-1.0
341,apple,soap_bar,-1.0
342,apple,soap_bottle,-1.0
343,apple,soap_bottle,-1.0
344,apple,sofa,-1.0
345,apple,spatula,-1.0
346,apple,spoon,-1.0
347,apple,spray_bottle,-1.0
348,apple,statue,-1.0
349,apple,stool,-1.0
350,apple,stove_burner,-1.0
351,apple,stove_knob,-1.0
352,apple,table_top_decor,-1.0
353,apple,target_circle,-1.0
354,apple,teddy_bear,-1.0
355,apple,television,-1.0
356,apple,tennis_racket,-1.0
357,apple,tissue_box,-1.0
358,apple,toaster,-1.0
359,apple,toilet,-1.0
360,apple,toilet_paper,-1.0
361,apple,toilet_paper_hanger,-1.0
362,apple,tomato,-1.0
363,apple,towel,-1.0
364,apple,towel_holder,-1.0
365,apple,tv_stand,-1.0
366,apple,vacuum_cleaner,-1.0
367,apple,vase,-1.0
368,apple,watch,-1.0
369,apple,watering_can,-1.0
370,apple,window,-1.0
371,apple,wine_bottle,-1.0
372,apple,oven,-1.0
373,apple,tooth_brush,-1.0
374,apple,hair_drier,-1.0
375,apple,keyboard,-1.0
376,apple,scissors,-1.0
377,apple,mouse,-1.0
378,arm_chair,alarm_clock,0.034
379,arm_chair,aluminum_foil,-0.02
380,arm_chair,apple,0.041
381,arm_chair,arm_chair,1.0
382,arm_chair,baseball_bat,0.034
383,arm_chair,basketball_bat,0.104
384,arm_chair,bathtub,-0.01
385,arm_chair,bathtub_basin,0.025
386,arm_chair,bed,-0.024
387,arm_chair,blinds,0.051
388,arm_chair,book,0.026
389,arm_chair,boots,-1.0
390,arm_chair,bottle,-1.0
391,arm_chair,bowl,-1.0
392,arm_chair,box,-1.0
393,arm_chair,bread,-1.0
394,arm_chair,butter_knife,-1.0
395,arm_chair,cabinet,-1.0
396,arm_chair,cabinet,-1.0
397,arm_chair,candle,-1.0
398,arm_chair,cd,-1.0
399,arm_chair,cell_phone,-1.0
400,arm_chair,chair,-0.014
401,arm_chair,cloth,-0.04
402,arm_chair,coffee_machine,-0.108
403,arm_chair,coffee_table,-0.022
404,arm_chair,counter_top,0.05
405,arm_chair,credit_card,0.061
406,arm_chair,cup,-0.031
407,arm_chair,curtains,-0.004
408,arm_chair,desk,-0.011
409,arm_chair,desk_lamp,0.039
410,arm_chair,desktop,0.002
411,arm_chair,dining_table,-0.015
412,arm_chair,dish_sponge,-0.07
413,arm_chair,dog_bed,0.119
414,arm_chair,drawer,0.032
415,arm_chair,dresser,-0.02
416,arm_chair,dumbbell,0.129
417,arm_chair,egg,-0.035
418,arm_chair,faucet,0.008
419,arm_chair,floor,-0.019
420,arm_chair,floor_lamp,0.074
421,arm_chair,foot_stool,0.043
422,arm_chair,fork,0.018
423,arm_chair,fridge,-0.046
424,arm_chair,garbage_bag,0.008
425,arm_chair,hand_towel,0.221
426,arm_chair,hand_towel_holder,0.221
427,arm_chair,house_plant,-0.031
428,arm_chair,kettle,-0.074
429,arm_chair,key_chain,-0.0
430,arm_chair,knife,0.085
431,arm_chair,ladle,0.001
432,arm_chair,laptop,-0.04
433,arm_chair,laundry_hamper,0.038
434,arm_chair,lettuce,0.002
435,arm_chair,light_switch,0.19
436,arm_chair,microwave,-0.063
437,arm_chair,mirror,-0.05
438,arm_chair,mug,-0.054
439,arm_chair,newspaper,-0.044
440,arm_chair,ottoman,0.009
441,arm_chair,painting,0.013
442,arm_chair,pan,-0.017
443,arm_chair,paper_towel_roll,0.062
444,arm_chair,pen,-0.019
445,arm_chair,pencil,-0.075
446,arm_chair,pepper_shaker,0.012
447,arm_chair,pillow,0.046
448,arm_chair,plate,0.007
449,arm_chair,plunger,0.052
450,arm_chair,poster,-0.009
451,arm_chair,pot,-0.044
452,arm_chair,potato,0.059
453,arm_chair,remote_control,0.084
454,arm_chair,room_decor,-0.048
455,arm_chair,safe,-0.087
456,arm_chair,salt_shaker,0.05
457,arm_chair,scrub_brush,-0.051
458,arm_chair,shelf,-0.004
459,arm_chair,shelving_unit,-0.001
460,arm_chair,shower_curtain,-1.0
461,arm_chair,shower_door,-1.0
462,arm_chair,shower_glass,-1.0
463,arm_chair,shower_head,-1.0
464,arm_chair,side_table,-1.0
465,arm_chair,sink,-1.0
466,arm_chair,sink_basin,-1.0
467,arm_chair,soap_bar,-1.0
468,arm_chair,soap_bottle,-1.0
469,arm_chair,soap_bottle,-1.0
470,arm_chair,sofa,-1.0
471,arm_chair,spatula,-1.0
472,arm_chair,spoon,-1.0
473,arm_chair,spray_bottle,-1.0
474,arm_chair,statue,-1.0
475,arm_chair,stool,-1.0
476,arm_chair,stove_burner,-1.0
477,arm_chair,stove_knob,-1.0
478,arm_chair,table_top_decor,-1.0
479,arm_chair,target_circle,-1.0
480,arm_chair,teddy_bear,-1.0
481,arm_chair,television,-1.0
482,arm_chair,tennis_racket,-1.0
483,arm_chair,tissue_box,-1.0
484,arm_chair,toaster,-1.0
485,arm_chair,toilet,-1.0
486,arm_chair,toilet_paper,-1.0
487,arm_chair,toilet_paper_hanger,-1.0
488,arm_chair,tomato,-1.0
489,arm_chair,towel,-1.0
490,arm_chair,towel_holder,-1.0
491,arm_chair,tv_stand,-1.0
492,arm_chair,vacuum_cleaner,-1.0
493,arm_chair,vase,-1.0
494,arm_chair,watch,-1.0
495,arm_chair,watering_can,-1.0
496,arm_chair,window,-1.0
497,arm_chair,wine_bottle,-1.0
498,arm_chair,oven,-1.0
499,arm_chair,tooth_brush,-1.0
500,arm_chair,hair_drier,-1.0
501,arm_chair,keyboard,-1.0
502,arm_chair,scissors,-1.0
503,arm_chair,mouse,-1.0
504,baseball_bat,alarm_clock,-0.02
505,baseball_bat,aluminum_foil,0.019
506,baseball_bat,apple,0.021
507,baseball_bat,arm_chair,0.034
508,baseball_bat,baseball_bat,1.0
509,baseball_bat,basketball_bat,0.175
510,baseball_bat,bathtub,0.018
511,baseball_bat,bathtub_basin,0.12
512,baseball_bat,bed,-0.006
513,baseball_bat,blinds,0.061
514,baseball_bat,book,0.037
515,baseball_bat,boots,-1.0
516,baseball_bat,bottle,-1.0
517,baseball_bat,bowl,-1.0
518,baseball_bat,box,-1.0
519,baseball_bat,bread,-1.0
520,baseball_bat,butter_knife,-1.0
521,baseball_bat,cabinet,-1.0
522,baseball_bat,cabinet,-1.0
523,baseball_bat,candle,-1.0
524,baseball_bat,cd,-1.0
525,baseball_bat,cell_phone,-1.0
526,baseball_bat,chair,-1.0
527,baseball_bat,cloth,-1.0
528,baseball_bat,coffee_machine,-1.0
529,baseball_bat,coffee_table,-1.0
530,baseball_bat,counter_top,-1.0
531,baseball_bat,credit_card,-1.0
532,baseball_bat,cup,-1.0
533,baseball_bat,curtains,-1.0
534,baseball_bat,desk,-1.0
535,baseball_bat,desk_lamp,-1.0
536,baseball_bat,desktop,-1.0
537,baseball_bat,dining_table,-1.0
538,baseball_bat,dish_sponge,-1.0
539,baseball_bat,dog_bed,-1.0
540,baseball_bat,drawer,-1.0
541,baseball_bat,dresser,-1.0
542,baseball_bat,dumbbell,-1.0
543,baseball_bat,egg,-1.0
544,baseball_bat,faucet,-1.0
