,Object1,Object2,Relatedness
0,basket_ball,basket_ball,1
1,basket_ball,baseball_bat,0.004
2,basket_ball,tennis_racket,0.01
3,basket_ball,bottle,0.025
4,basket_ball,wine_bottle,0.127
5,basket_ball,cup,0.006
6,basket_ball,fork,0.06
7,basket_ball,knife,0.016
8,basket_ball,spoon,0.07
9,basket_ball,bowl,0.03
10,basket_ball,apple,-0.083
11,basket_ball,chair,0.065
12,basket_ball,sofa,-0.003
13,basket_ball,house_plant,0.043
14,basket_ball,dining_table,0.032
15,basket_ball,toilet,-0.031
16,basket_ball,television,-0.093
17,basket_ball,laptop,-0.158
18,basket_ball,remote_control,0.052
19,basket_ball,cell_phone,-0.12
20,basket_ball,microwave,-0.019
21,basket_ball,toaster,0.001
22,basket_ball,sink,0.089
23,basket_ball,fridge,0.009
24,basket_ball,book,0.01
25,basket_ball,alarm_clock,0.04
26,basket_ball,vase,0.039
27,basket_ball,teddy_bear,-0.028
28,baseball_bat,basket_ball,0.004
29,baseball_bat,baseball_bat,1
30,baseball_bat,tennis_racket,0.434
31,baseball_bat,bottle,0.068
32,baseball_bat,wine_bottle,0.011
33,baseball_bat,cup,0.026
34,baseball_bat,fork,0.02
35,baseball_bat,knife,0.01
36,baseball_bat,spoon,-0.013
37,baseball_bat,bowl,0.136
38,baseball_bat,apple,0.021
39,baseball_bat,chair,-0.031
40,baseball_bat,sofa,-0.023
41,baseball_bat,house_plant,0.003
42,baseball_bat,dining_table,0.033
43,baseball_bat,toilet,-0.034
44,baseball_bat,television,0.02
45,baseball_bat,laptop,0.054
46,baseball_bat,remote_control,-0.019
47,baseball_bat,cell_phone,0.013
48,baseball_bat,microwave,-0.04
49,baseball_bat,toaster,0.071
50,baseball_bat,sink,0.043
51,baseball_bat,fridge,0.027
52,baseball_bat,book,0.037
53,baseball_bat,alarm_clock,-0.02
54,baseball_bat,vase,0.041
55,baseball_bat,teddy_bear,-0.023
56,tennis_racket,basket_ball,0.01
57,tennis_racket,baseball_bat,0.434
58,tennis_racket,tennis_racket,1
59,tennis_racket,bottle,0.052
60,tennis_racket,wine_bottle,0.031
61,tennis_racket,cup,0.096
62,tennis_racket,fork,0.126
63,tennis_racket,knife,0.091
64,tennis_racket,spoon,0.12
65,tennis_racket,bowl,0.151
66,tennis_racket,apple,-0.028
67,tennis_racket,chair,0.088
68,tennis_racket,sofa,0.024
69,tennis_racket,house_plant,0.007
70,tennis_racket,dining_table,0.056
71,tennis_racket,toilet,-0.055
72,tennis_racket,television,0.009
73,tennis_racket,laptop,0.056
74,tennis_racket,remote_control,0.07
75,tennis_racket,cell_phone,-0.067
76,tennis_racket,microwave,0.022
77,tennis_racket,toaster,0.066
78,tennis_racket,sink,-0.054
79,tennis_racket,fridge,-0.02
80,tennis_racket,book,0.082
81,tennis_racket,alarm_clock,-0.025
82,tennis_racket,vase,0.067
83,tennis_racket,teddy_bear,-0.018
84,bottle,basket_ball,0.025
85,bottle,baseball_bat,0.068
86,bottle,tennis_racket,0.052
87,bottle,bottle,1
88,bottle,wine_bottle,0.306
89,bottle,cup,0.275
90,bottle,fork,0.026
91,bottle,knife,0.065
92,bottle,spoon,0.096
93,bottle,bowl,0.163
94,bottle,apple,-0.043
95,bottle,chair,0.091
96,bottle,sofa,0.014
97,bottle,house_plant,-0.036
98,bottle,dining_table,-0.038
99,bottle,toilet,0.039
100,bottle,television,-0.002
101,bottle,laptop,0.037
102,bottle,remote_control,0.05
103,bottle,cell_phone,-0.011
104,bottle,microwave,-0.016
105,bottle,toaster,-0.027
106,bottle,sink,-0.052
107,bottle,fridge,0.257
108,bottle,book,0.091
109,bottle,alarm_clock,-0.002
110,bottle,vase,0.345
111,bottle,teddy_bear,0.053
112,wine_bottle,basket_ball,0.127
113,wine_bottle,baseball_bat,0.011
114,wine_bottle,tennis_racket,0.031
115,wine_bottle,bottle,0.306
116,wine_bottle,wine_bottle,1
117,wine_bottle,cup,0.039
118,wine_bottle,fork,0.178
119,wine_bottle,knife,0.004
120,wine_bottle,spoon,0.11
121,wine_bottle,bowl,0.031
122,wine_bottle,apple,-0.023
123,wine_bottle,chair,0.028
124,wine_bottle,sofa,0.054
125,wine_bottle,house_plant,-0.012
126,wine_bottle,dining_table,0.373
127,wine_bottle,toilet,-0.092
128,wine_bottle,television,-0.06
129,wine_bottle,laptop,-0.009
130,wine_bottle,remote_control,0.115
131,wine_bottle,cell_phone,0.02
132,wine_bottle,microwave,-0.05
133,wine_bottle,toaster,-0.049
134,wine_bottle,sink,0.057
135,wine_bottle,fridge,0.1
136,wine_bottle,book,0.093
137,wine_bottle,alarm_clock,-0.045
138,wine_bottle,vase,0.027
139,wine_bottle,teddy_bear,0.025
140,cup,basket_ball,0.006
141,cup,baseball_bat,0.026
142,cup,tennis_racket,0.096
143,cup,bottle,0.275
144,cup,wine_bottle,0.039
145,cup,cup,1
146,cup,fork,-0.019
147,cup,knife,0.02
148,cup,spoon,0.274
149,cup,bowl,0.421
150,cup,apple,-0.086
151,cup,chair,0.096
152,cup,sofa,0.061
153,cup,house_plant,0.042
154,cup,dining_table,0.027
155,cup,toilet,0.117
156,cup,television,0.024
157,cup,laptop,-0.005
158,cup,remote_control,-0.02
159,cup,cell_phone,0.031
160,cup,microwave,0.086
161,cup,toaster,0.133
162,cup,sink,0.071
163,cup,fridge,0.119
164,cup,book,0.032
165,cup,alarm_clock,0.028
166,cup,vase,0.314
167,cup,teddy_bear,0.014
168,fork,basket_ball,0.06
169,fork,baseball_bat,0.02
170,fork,tennis_racket,0.126
171,fork,bottle,0.026
172,fork,wine_bottle,0.178
173,fork,cup,-0.019
174,fork,fork,1
175,fork,knife,0.367
176,fork,spoon,0.482
177,fork,bowl,0.12
178,fork,apple,0.054
179,fork,chair,0.053
180,fork,sofa,0.048
181,fork,house_plant,-0.023
182,fork,dining_table,0.177
183,fork,toilet,0.011
184,fork,television,-0.008
185,fork,laptop,0.049
186,fork,remote_control,-0.008
187,fork,cell_phone,0.021
188,fork,microwave,0.111
189,fork,toaster,0.095
190,fork,sink,0.075
191,fork,fridge,-0.055
192,fork,book,0.007
193,fork,alarm_clock,-0.005
194,fork,vase,-0.056
195,fork,teddy_bear,-0.005
196,knife,basket_ball,0.016
197,knife,baseball_bat,0.01
198,knife,tennis_racket,0.091
199,knife,bottle,0.065
200,knife,wine_bottle,0.004
201,knife,cup,0.02
202,knife,fork,0.367
203,knife,knife,1
204,knife,spoon,0.339
205,knife,bowl,0.1
206,knife,apple,0.08
207,knife,chair,0.076
208,knife,sofa,0.055
209,knife,house_plant,0.005
210,knife,dining_table,0.148
211,knife,toilet,0.057
212,knife,television,-0.037
213,knife,laptop,0.12
214,knife,remote_control,-0.001
215,knife,cell_phone,0.036
216,knife,microwave,0.07
217,knife,toaster,0.174
218,knife,sink,0.156
219,knife,fridge,0.008
220,knife,book,0.01
221,knife,alarm_clock,0.058
222,knife,vase,0.069
223,knife,teddy_bear,0.023
224,spoon,basket_ball,0.07
225,spoon,baseball_bat,-0.013
226,spoon,tennis_racket,0.12
227,spoon,bottle,0.096
228,spoon,wine_bottle,0.11
229,spoon,cup,0.274
230,spoon,fork,0.482
231,spoon,knife,0.339
232,spoon,spoon,1
233,spoon,bowl,0.317
234,spoon,apple,0
235,spoon,chair,0.076
236,spoon,sofa,0.077
237,spoon,house_plant,0.064
238,spoon,dining_table,0.177
239,spoon,toilet,0.091
240,spoon,television,-0.067
241,spoon,laptop,-0.039
242,spoon,remote_control,-0.003
243,spoon,cell_phone,-0.015
244,spoon,microwave,0.126
245,spoon,toaster,0.125
246,spoon,sink,0.124
247,spoon,fridge,0.02
248,spoon,book,-0.021
249,spoon,alarm_clock,0.028
250,spoon,vase,0.179
251,spoon,teddy_bear,0.031
252,bowl,basket_ball,0.03
253,bowl,baseball_bat,0.136
254,bowl,tennis_racket,0.151
255,bowl,bottle,0.163
256,bowl,wine_bottle,0.031
257,bowl,cup,0.421
258,bowl,fork,0.12
259,bowl,knife,0.1
260,bowl,spoon,0.317
261,bowl,bowl,1
262,bowl,apple,0.015
263,bowl,chair,0.146
264,bowl,sofa,0.118
265,bowl,house_plant,0.034
266,bowl,dining_table,0.163
267,bowl,toilet,0.231
268,bowl,television,0.094
269,bowl,laptop,-0.045
270,bowl,remote_control,0.061
271,bowl,cell_phone,-0.036
272,bowl,microwave,0.186
273,bowl,toaster,0.169
274,bowl,sink,0.158
275,bowl,fridge,0.167
276,bowl,book,-0.023
277,bowl,alarm_clock,-0.056
278,bowl,vase,0.464
279,bowl,teddy_bear,0.055
280,apple,basket_ball,-0.083
281,apple,baseball_bat,0.021
282,apple,tennis_racket,-0.028
283,apple,bottle,-0.043
284,apple,wine_bottle,-0.023
285,apple,cup,-0.086
286,apple,fork,0.054
287,apple,knife,0.08
288,apple,spoon,0
289,apple,bowl,0.015
290,apple,apple,1
291,apple,chair,-0.037
292,apple,sofa,0.009
293,apple,house_plant,-0.002
294,apple,dining_table,-0.063
295,apple,toilet,-0.017
296,apple,television,-0.004
297,apple,laptop,0.3
298,apple,remote_control,-0.019
299,apple,cell_phone,0.15
300,apple,microwave,-0.024
301,apple,toaster,0.091
302,apple,sink,0.044
303,apple,fridge,0.073
304,apple,book,-0.06
305,apple,alarm_clock,0.05
306,apple,vase,-0.029
